classe_num,avgNote_w34,ndevoir_w34,log_34,logMonday_w34,logSunday_w34,logWed_w34,logThursday_w34,DiffDaysWeek,log_resource,log_core,logviewed_w34,logviewedCore_w34,logviewedResource_w34,logViewedTargetCourse_w34,logViewedTargetCourseModule_w34,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,15.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17,6,1840,480,0,424,376,1,616,1224,1840,1224,616,1224,616,1,1,6,0,0
1,13.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,17.3333,3,72,16,0,8,48,0,24,48,72,48,24,48,24,0,0,3,0,0
1,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,17,5,144,0,40,48,0,0,56,88,144,88,56,88,56,0,0,6,0,0
1,16.8,5,104,0,56,0,0,0,32,72,104,72,32,72,32,0,0,6,0,0
1,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,16.5,2,40,0,0,0,0,0,16,24,40,24,16,24,16,0,0,6,0,0
1,15,2,16,0,0,16,0,0,0,16,16,16,0,16,0,0,0,2,0,0
1,16,4,88,0,0,0,88,0,48,40,88,40,48,40,48,0,0,5,0,0
1,18.8333,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,13.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,17.8,5,104,40,0,64,0,0,48,56,104,56,48,56,48,0,0,6,0,0
1,16.5,4,32,0,32,0,0,0,8,24,32,24,8,24,8,0,0,5,0,0
1,16,3,48,0,0,0,0,0,24,24,48,24,24,24,24,0,0,3,0,0
1,17.25,4,120,0,0,32,0,1,48,72,120,72,48,72,48,0,1,5,0,0
1,15.3333,3,136,0,0,0,48,0,64,72,136,72,64,72,64,0,0,3,0,0
1,14,2,90,0,0,0,72,0,27,63,90,63,27,63,27,0,0,4,0,0
1,16.5,4,128,0,0,0,0,0,56,72,128,72,56,72,56,0,0,5,0,0
1,19.1667,6,2128,288,352,360,200,0,752,1376,2128,1376,752,1376,752,0,0,6,0,0
-1,7,4,344,96,0,80,0,0,72,272,344,272,72,192,72,0,0,4,1,0
-1,6.75,4,288,48,0,0,48,0,128,160,288,160,128,160,128,0,0,4,1,0
1,20,2,621,234,0,135,108,0,216,405,621,405,216,405,216,0,0,4,1,0
1,16.2,5,2568,952,32,704,344,0,1032,1536,2568,1536,1032,1536,1032,0,0,6,0,0
1,17.6,5,112,0,0,0,0,0,56,56,112,56,56,56,56,0,0,6,0,0
1,18.5,2,616,120,152,64,136,1,224,392,616,392,224,392,224,0,1,2,0,0
